average_rate,sentence_length,window_size,undershoot_window_size,window_limit,spacing_name,cutoff_type,current_rate,sentences_processed,end_time,emit_duration,work_duration,sleep_duration,padding_duration,transmission_diff,number_of_sleeps,remaining_time,between_loop_duration,number_of_transmitted_windows,spike
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534705129,13,13,0,987,987,0,987,0,0,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534706129,3,3,0,997,997,0,997,1000,1,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534707130,2,2,0,998,998,0,998,1000,2,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534708130,4,4,0,996,996,0,996,1001,3,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534709129,4,4,0,996,996,0,996,1000,4,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534710130,3,3,0,997,997,0,997,999,5,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534711132,13,13,0,987,987,0,987,1001,6,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534712132,11,11,0,989,989,0,989,1002,7,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534713133,18,18,0,982,982,0,982,1000,8,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534714133,12,12,0,988,988,0,988,1001,9,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534715134,11,11,0,989,989,0,989,1000,10,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534716136,10,10,0,990,990,0,990,1002,11,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534717138,10,10,0,990,990,0,990,1001,12,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534718139,10,10,0,990,990,0,990,1002,13,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534719139,9,9,0,991,991,0,991,1001,14,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534720141,10,10,0,990,990,0,990,1000,15,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534721143,3,3,0,997,997,0,997,1002,16,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534722143,13,13,0,987,987,0,987,1002,17,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534723144,9,9,0,991,991,0,991,1000,18,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534724144,5,5,0,995,995,0,995,1001,19,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534725145,3,3,0,997,997,0,997,1001,20,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534726145,14,14,0,986,986,0,986,1000,21,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534727147,8,8,0,992,992,0,992,1000,22,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534728147,19,19,0,981,981,0,981,1002,23,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534729147,11,11,0,989,989,0,989,1000,24,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534730148,5,5,0,995,995,0,995,1000,25,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534731148,2,2,0,998,998,0,998,1001,26,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534732150,3,3,0,997,997,0,997,1000,27,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534733151,7,7,0,993,993,0,993,1002,28,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534734155,8,8,0,992,992,0,992,1004,29,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534735156,9,9,0,991,991,0,991,1002,30,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534736157,6,6,0,994,994,0,994,1001,31,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534737158,8,8,0,992,992,0,992,1000,32,0
1000,100,1000,1000.0,60,BASIC,CUTOFF_CURRENT,1000,1000,1772534738159,8,8,0,992,992,0,992,1001,33,0
