window,throughput
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,350
31,470
32,460
33,420
34,484
35,426
36,430
37,450
38,460
39,434
40,426
41,470
42,460
43,470
44,420
45,460
46,460
47,460
48,450
49,420
50,457
51,453
52,460
53,463
54,457
55,460
56,400
57,450
58,490
59,470
60,460
61,400
62,470
63,460
64,450
65,480
66,470
67,420
68,460
69,460
70,460
71,420
72,470
73,470
74,450
75,460
76,420
77,470
78,450
79,460
80,450
81,414
82,446
83,470
84,440
85,420
86,470
87,470
88,420
89,460
90,4181
91,1000
92,1000
93,1000
94,1000
95,1000
96,1000
97,1000
98,1000
99,1000
100,1000
101,1000
102,1000
103,1000
104,1000
105,1000
106,1000
107,1000
108,1000
109,1000
110,1000
111,1000
112,1000
113,1000
114,1000
115,1000
116,1000
117,1000
118,1000
119,1000
120,1000
121,1000
122,1000
123,1000
124,1000
125,1000
126,1000
127,1000
128,1000
129,1000
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0

