window,value,percentile,total_count
0,4,0.0,548
0,7,50.0,548
0,255,90.0,175
0,255,99.0,175
0,255,99.9,175
0,255,99.99,175
0,255,99.999,175
0,255,100.0,175
1,1,0.0,371
1,3,50.0,279
1,127,90.0,274
1,255,99.0,76
1,255,99.9,76
1,255,99.99,76
1,255,99.999,76
1,255,100.0,76
2,1,0.0,474
2,127,50.0,274
2,255,90.0,251
2,255,99.0,251
2,255,99.9,251
2,255,99.99,251
2,255,99.999,251
2,255,100.0,251
3,1,0.0,310
3,3,50.0,262
3,255,90.0,153
3,255,99.0,153
3,255,99.9,153
3,255,99.99,153
3,255,99.999,153
3,255,100.0,153
4,0,0.0,32
4,1,50.0,641
4,127,90.0,327
4,127,99.0,327
4,127,99.9,327
4,127,99.99,327
4,127,99.999,327
4,127,100.0,327
5,1,0.0,499
5,127,50.0,274
5,255,90.0,227
5,255,99.0,227
5,255,99.9,227
5,255,99.99,227
5,255,99.999,227
5,255,100.0,227
6,1,0.0,598
6,1,50.0,598
6,255,90.0,128
6,255,99.0,128
6,255,99.9,128
6,255,99.99,128
6,255,99.999,128
6,255,100.0,128
7,1,0.0,547
7,1,50.0,547
7,127,90.0,274
7,255,99.0,29
7,255,99.9,29
7,255,99.99,29
7,255,99.999,29
7,255,100.0,29
8,0,0.0,27
8,1,50.0,494
8,255,90.0,205
8,255,99.0,205
8,255,99.9,205
8,255,99.99,205
8,255,99.999,205
8,255,100.0,205
9,0,0.0,362
9,1,50.0,258
9,255,90.0,105
9,255,99.0,105
9,255,99.9,105
9,255,99.99,105
9,255,99.999,105
9,255,100.0,105
10,0,0.0,148
10,1,50.0,453
10,127,90.0,276
10,127,99.0,276
10,255,99.9,5
10,255,99.99,5
10,255,99.999,5
10,255,100.0,5
11,1,0.0,545
11,1,50.0,545
11,255,90.0,181
11,255,99.0,181
11,255,99.9,181
11,255,99.99,181
11,255,99.999,181
11,255,100.0,181
12,0,0.0,121
12,1,50.0,523
12,127,90.0,276
12,255,99.0,80
12,255,99.9,80
12,255,99.99,80
12,255,99.999,80
12,255,100.0,80
13,0,0.0,404
13,127,50.0,275
13,255,90.0,254
13,255,99.0,254
13,255,99.9,254
13,255,99.99,254
13,255,99.999,254
13,255,100.0,254
14,0,0.0,21
14,1,50.0,550
14,255,90.0,154
14,255,99.0,154
14,255,99.9,154
14,255,99.99,154
14,255,99.999,154
14,255,100.0,154
15,0,0.0,419
15,1,50.0,253
15,127,90.0,275
15,255,99.0,53
15,255,99.9,53
15,255,99.99,53
15,255,99.999,53
15,255,100.0,53
16,0,0.0,347
16,127,50.0,275
16,255,90.0,228
16,255,99.0,228
16,255,99.9,228
16,255,99.99,228
16,255,99.999,228
16,255,100.0,228
17,0,0.0,396
17,1,50.0,203
17,255,90.0,127
17,255,99.0,127
17,255,99.9,127
17,255,99.99,127
17,255,99.999,127
17,255,100.0,127
18,1,0.0,75
18,3,50.0,583
18,127,90.0,275
18,255,99.0,26
18,255,99.9,26
18,255,99.99,26
18,255,99.999,26
18,255,100.0,26
19,0,0.0,94
19,1,50.0,430
19,255,90.0,202
19,255,99.0,202
19,255,99.9,202
19,255,99.99,202
19,255,99.999,202
19,255,100.0,202
20,0,0.0,199
20,1,50.0,424
20,127,90.0,377
20,127,99.0,377
20,127,99.9,377
20,127,99.99,377
20,127,99.999,377
20,127,100.0,377
21,0,0.0,536
21,0,50.0,536
21,255,90.0,105
21,255,99.0,105
21,255,99.9,105
21,255,99.99,105
21,255,99.999,105
21,255,100.0,105
22,0,0.0,180
22,1,50.0,645
22,127,90.0,175
22,127,99.0,175
22,127,99.9,175
22,127,99.99,175
22,127,99.999,175
22,127,100.0,175
23,0,0.0,222
23,1,50.0,427
23,3,90.0,275
23,127,99.0,76
23,127,99.9,76
23,127,99.99,76
23,127,99.999,76
23,127,100.0,76
24,0,0.0,111
24,7,50.0,527
24,7,90.0,527
24,7,99.0,527
24,7,99.9,527
24,7,99.99,527
24,7,99.999,527
24,7,100.0,527
25,0,0.0,43
25,63,50.0,573
25,127,90.0,152
25,127,99.0,152
25,127,99.9,152
25,127,99.99,152
25,127,99.999,152
25,127,100.0,152
26,0,0.0,398
26,1,50.0,275
26,63,90.0,327
26,63,99.0,327
26,63,99.9,327
26,63,99.99,327
26,63,99.999,327
26,63,100.0,327
27,0,0.0,437
27,1,50.0,63
27,63,90.0,500
27,63,99.0,500
27,63,99.9,500
27,63,99.99,500
27,63,99.999,500
27,63,100.0,500
28,0,0.0,285
28,1,50.0,244
28,255,90.0,125
28,255,99.0,125
28,255,99.9,125
28,255,99.99,125
28,255,99.999,125
28,255,100.0,125
