window,workload
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,515
31,516
32,515
33,514
34,511
35,514
36,517
37,536
38,578
39,584
40,564
41,590
42,599
43,604
44,592
45,586
46,598
47,604
48,593
49,582
50,595
51,597
52,576
53,587
54,592
55,586
56,583
57,594
58,587
59,578
60,618
61,609
62,590
63,587
64,609
65,596
66,593
67,586
68,589
69,591
70,588
71,592
72,582
73,591
74,604
75,587
76,579
77,607
78,579
79,597
80,597
81,588
82,627
83,601
84,590
85,585
86,587
87,597
88,588
89,583
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,2
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0

