Attaching to docker-jobmanager-1, docker-taskmanager-1, influxdb
docker-jobmanager-1   | Starting Job Manager
influxdb              | influxdb init process in progress...
docker-taskmanager-1  | Starting Task Manager
docker-jobmanager-1   | Starting standalonejob as a console application on host 2edd6ee6dfa4.
docker-taskmanager-1  | Starting taskexecutor as a console application on host a27e0eb71893.
docker-jobmanager-1   | 2026-03-03 10:17:57,800 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] - --------------------------------------------------------------------------------
docker-jobmanager-1   | 2026-03-03 10:17:57,801 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  Preconfiguration: 
docker-jobmanager-1   | 2026-03-03 10:17:57,801 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] - 
docker-jobmanager-1   | 
docker-jobmanager-1   | 
docker-jobmanager-1   | RESOURCE_PARAMS extraction logs:
docker-jobmanager-1   | jvm_params: -Xmx1073741824 -Xms1073741824 -XX:MaxMetaspaceSize=268435456
docker-jobmanager-1   | dynamic_configs: -D jobmanager.memory.off-heap.size=134217728b -D jobmanager.memory.jvm-overhead.min=201326592b -D jobmanager.memory.jvm-metaspace.size=268435456b -D jobmanager.memory.heap.size=1073741824b -D jobmanager.memory.jvm-overhead.max=201326592b
docker-jobmanager-1   | logs: WARNING: sun.reflect.Reflection.getCallerClass is not supported. This will impact performance.
docker-jobmanager-1   | INFO  [] - Loading configuration property: blob.server.port, 6124
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.interval, 500 ms
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.host, metri
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.system-resource-probing-interval, 500
docker-jobmanager-1   | INFO  [] - Loading configuration property: jobmanager.execution.failover-strategy, region
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.network.memory.max-overdraft-buffers-per-gate, 0
docker-jobmanager-1   | INFO  [] - Loading configuration property: jobmanager.rpc.address, jobmanager
docker-jobmanager-1   | INFO  [] - Loading configuration property: execution.buffer-timeout.interval, 0 ms
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.password, ******
docker-jobmanager-1   | INFO  [] - Loading configuration property: query.server.port, 6125
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.db, flink
docker-jobmanager-1   | INFO  [] - Loading configuration property: jobmanager.bind-host, 0.0.0.0
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.connectTimeout, 60000
docker-jobmanager-1   | INFO  [] - Loading configuration property: parallelism.default, 1
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.numberOfTaskSlots, 1
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.memory.process.size, 1728m
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.network.memory.floating-buffers-per-gate, 8
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.bind-host, 0.0.0.0
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.memory.segment-size, 32 kb
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.username, flink-metrics
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.scheme, http
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.network.memory.buffers-per-channel, 2
docker-jobmanager-1   | INFO  [] - Loading configuration property: jobmanager.memory.process.size, 1600m
docker-jobmanager-1   | INFO  [] - Loading configuration property: jobmanager.rpc.port, 6123
docker-jobmanager-1   | INFO  [] - Loading configuration property: rest.bind-address, 0.0.0.0
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.port, 8086
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.retentionPolicy, autogen
docker-jobmanager-1   | INFO  [] - Loading configuration property: taskmanager.network.detailed-metrics, true
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.writeTimeout, 60000
docker-jobmanager-1   | INFO  [] - Loading configuration property: rest.address, jobmanager
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.consistency, ANY
docker-jobmanager-1   | INFO  [] - Loading configuration property: metrics.reporter.influxdb.factory.class, org.apache.flink.metrics.influxdb.InfluxdbReporterFactory
docker-jobmanager-1   | INFO  [] - The derived from fraction jvm overhead memory (160.000mb (167772162 bytes)) is less than its min value 192.000mb (201326592 bytes), min value will be used instead
docker-jobmanager-1   | INFO  [] - Final Master Memory configuration:
docker-jobmanager-1   | INFO  [] -   Total Process Memory: 1.563gb (1677721600 bytes)
docker-jobmanager-1   | INFO  [] -     Total Flink Memory: 1.125gb (1207959552 bytes)
docker-jobmanager-1   | INFO  [] -       JVM Heap:         1024.000mb (1073741824 bytes)
docker-jobmanager-1   | INFO  [] -       Off-heap:         128.000mb (134217728 bytes)
docker-jobmanager-1   | INFO  [] -     JVM Metaspace:      256.000mb (268435456 bytes)
docker-jobmanager-1   | INFO  [] -     JVM Overhead:       192.000mb (201326592 bytes)
docker-jobmanager-1   | 
docker-jobmanager-1   | 
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] - --------------------------------------------------------------------------------
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  Starting StandaloneApplicationClusterEntryPoint (Version: 1.17.1, Scala: 2.12, Rev:2750d5c, Date:2023-05-19T10:45:46+02:00)
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  OS current user: flink
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  Current Hadoop/Kerberos user: <no hadoop dependency found>
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  JVM: OpenJDK 64-Bit Server VM - Eclipse Adoptium - 11/11.0.20+8
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  Arch: aarch64
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  Maximum heap size: 1024 MiBytes
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  JAVA_HOME: /opt/java/openjdk
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  No Hadoop Dependency available
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  JVM Options:
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -Xmx1073741824
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -Xms1073741824
docker-jobmanager-1   | 2026-03-03 10:17:57,802 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -XX:MaxMetaspaceSize=268435456
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -Dlog.file=/opt/flink/log/flink--standalonejob-0-2edd6ee6dfa4.log
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -Dlog4j.configuration=file:/opt/flink/conf/log4j-console.properties
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -Dlog4j.configurationFile=file:/opt/flink/conf/log4j-console.properties
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -Dlogback.configurationFile=file:/opt/flink/conf/logback-console.xml
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -  Program Arguments:
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --configDir
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     /opt/flink/conf
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -D
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     jobmanager.memory.off-heap.size=134217728b
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -D
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     jobmanager.memory.jvm-overhead.min=201326592b
docker-jobmanager-1   | 2026-03-03 10:17:57,803 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -D
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     jobmanager.memory.jvm-metaspace.size=268435456b
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -D
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     jobmanager.memory.heap.size=1073741824b
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     -D
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     jobmanager.memory.jvm-overhead.max=201326592b
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --job-classname
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     ncl.scalable.benchmark_bumbles.flink.wordcount.driver.BenchmarkSimulator
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --chain-operators
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     false
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --source-rate
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     1000
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --sentence-length
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     100
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --window-size
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     1000
docker-jobmanager-1   | 2026-03-03 10:17:57,804 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --window-limit
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     60
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --rolling-size
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     0
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --spacing-method
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     0
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --cutoff-method
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     0
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --arrival-process
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     0
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --calibration-size
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     30
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --undershoot-factor
docker-jobmanager-1   | 2026-03-03 10:17:57,805 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     1
docker-jobmanager-1   | 2026-03-03 10:17:57,806 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --sleep-amount
docker-jobmanager-1   | 2026-03-03 10:17:57,806 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     10
docker-jobmanager-1   | 2026-03-03 10:17:57,806 INFO  org.apache.flink.runtime.entrypoint.ClusterEntrypoint        [] -     --work-method
