window,throughput
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,1000
21,1000
22,1000
23,1000
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,720
31,917
32,883
33,910
34,910
35,910
36,880
37,900
38,910
39,856
40,864
41,900
42,910
43,902
44,878
45,880
46,900
47,910
48,830
49,910
50,900
51,900
52,900
53,890
54,900
55,890
56,861
57,859
58,920
59,920
60,910
61,910
62,900
63,770
64,964
65,836
66,900
67,920
68,900
69,845
70,895
71,890
72,910
73,900
74,890
75,900
76,790
77,900
78,905
79,905
80,900
81,900
82,920
83,910
84,830
85,890
86,900
87,900
88,930
89,920
90,4402
91,826
92,1100
93,1102
94,825
95,1101
96,825
97,1100
98,550
99,1374
100,1102
101,551
102,1101
103,681
104,1000
105,1000
106,1000
107,1000
108,1000
109,1000
110,1000
111,1000
112,1000
113,1000
114,1000
115,1000
116,1000
117,1000
118,1000
119,1000
120,1000
121,1000
122,1000
123,1000
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0

