average_rate,sentence_length,window_size,undershoot_window_size,window_limit,spacing_name,cutoff_type,current_rate,sentences_processed,end_time,emit_duration,work_duration,sleep_duration,padding_duration,transmission_diff,number_of_sleeps,remaining_time,between_loop_duration,number_of_transmitted_windows,spike
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533225191,12,12,0,988,988,0,988,0,0,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533226191,4,4,0,996,996,0,996,1000,1,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533227191,4,4,0,996,996,0,996,1000,2,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533228192,3,3,0,997,997,0,997,1000,3,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533229193,4,4,0,996,996,0,996,1001,4,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533230194,8,8,0,992,992,0,992,1001,5,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533231195,2,2,0,998,998,0,998,1001,6,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533232196,11,11,0,989,989,0,989,1001,7,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533233197,13,13,0,987,987,0,987,1001,8,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533234197,7,7,0,993,993,0,993,1001,9,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533235197,2,2,0,998,998,0,998,1000,10,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533236198,9,9,0,991,991,0,991,1000,11,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533237200,10,10,0,990,990,0,990,1001,12,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533238201,11,11,0,989,989,0,989,1003,13,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533239205,4,4,0,996,996,0,996,1000,14,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533240206,11,11,0,989,989,0,989,1004,15,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533241207,12,12,0,988,988,0,988,1001,16,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533242211,11,11,0,989,989,0,989,1001,17,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533243214,10,10,0,990,990,0,990,1004,18,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533244215,8,8,0,992,992,0,992,1003,19,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533245219,8,8,0,992,992,0,992,1001,20,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533246220,13,13,0,987,987,0,987,1004,21,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533247222,8,8,0,992,992,0,992,1001,22,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533248223,6,6,0,994,994,0,994,1002,23,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533249224,9,9,0,991,991,0,991,1001,24,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533250224,10,10,0,990,990,0,990,1001,25,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533251224,11,11,0,989,989,0,989,1000,26,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533252226,10,10,0,990,990,0,990,1001,27,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533253226,16,16,0,984,984,0,984,1001,28,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533254233,9,9,0,991,991,0,991,1002,29,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533255233,10,10,0,990,990,0,990,1005,30,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533256235,10,10,0,990,990,0,990,1000,31,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533257237,11,11,0,989,989,0,989,1003,32,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533258237,9,9,0,991,991,0,991,1001,33,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533259614,1377,1377,0,0,-377,0,0,1000,34,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533261442,1828,1828,0,0,-828,0,0,1377,35,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533263881,2439,2439,0,0,-1439,0,0,1828,36,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533266333,2452,2452,0,0,-1452,0,0,2439,37,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533268150,1817,1817,0,0,-817,0,0,2452,38,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533270541,2391,2391,0,0,-1391,0,0,1817,39,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533272990,2449,2449,0,0,-1449,0,0,2391,40,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533274854,1864,1864,0,0,-864,0,0,2449,41,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533277261,2407,2407,0,0,-1407,0,0,1864,42,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533279693,2432,2432,0,0,-1432,0,0,2407,43,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533281539,1846,1846,0,0,-846,0,0,2432,44,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533283943,2404,2404,0,0,-1404,0,0,1846,45,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533285737,1794,1794,0,0,-794,0,0,2404,46,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533288207,2469,2469,0,0,-1469,0,0,1795,47,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533290621,2414,2414,0,0,-1414,0,0,2469,48,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533292446,1825,1825,0,0,-825,0,0,2414,49,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533294910,2464,2464,0,0,-1464,0,0,1825,50,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533297324,2414,2414,0,0,-1414,0,0,2464,51,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533299183,1859,1859,0,0,-859,0,0,2414,52,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533301592,2408,2408,0,0,-1408,0,0,1860,53,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533304038,2446,2446,0,0,-1446,0,0,2408,54,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533305884,1846,1846,0,0,-846,0,0,2446,55,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533308310,2426,2426,0,0,-1426,0,0,1846,56,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533310136,1826,1826,0,0,-826,0,0,2426,57,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533312571,2435,2435,0,0,-1435,0,0,1826,58,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533314154,1583,1583,0,0,-583,0,0,2435,59,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533315154,7,7,0,993,993,0,993,1583,60,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533316155,8,8,0,992,992,0,992,1000,61,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533317158,11,11,0,989,989,0,989,1001,62,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533318160,11,11,0,989,989,0,989,1003,63,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533319164,28,28,0,972,972,0,972,1002,64,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533320166,10,10,0,990,990,0,990,1004,65,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533321168,9,9,0,991,991,0,991,1002,66,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533322168,10,10,0,990,990,0,990,1002,67,0
1000,100,1000,1000.0,60,BASIC,NO_CUTOFF,1000,1000,1772533323169,11,11,0,989,989,0,989,1000,68,0
