window,workload
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,918
31,991
32,1004
33,988
34,990
35,1001
36,994
37,982
38,1011
39,1001
40,980
41,1004
42,989
43,992
44,1010
45,988
46,1014
47,974
48,989
49,996
50,997
51,1014
52,984
53,1002
54,986
55,994
56,1002
57,983
58,1009
59,984
60,989
61,1010
62,970
63,1013
64,989
65,988
66,993
67,1005
68,992
69,994
70,990
71,1006
72,996
73,989
74,1002
75,992
76,1003
77,976
78,1019
79,989
80,988
81,1012
82,991
83,997
84,999
85,992
86,1006
87,987
88,1000
89,986
90,0
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,0
99,2
100,0
101,0
102,0
103,0
104,1
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1
117,0
118,0
119,5

