window,value,percentile,total_count
0,8,0.0,550
0,15,50.0,550
0,255,90.0,176
0,255,99.0,176
0,255,99.9,176
0,255,99.99,176
0,255,99.999,176
0,255,100.0,176
1,1,0.0,97
1,3,50.0,552
1,127,90.0,351
1,127,99.0,351
1,127,99.9,351
1,127,99.99,351
1,127,99.999,351
1,127,100.0,351
2,1,0.0,198
2,127,50.0,275
2,255,90.0,251
2,255,99.0,251
2,255,99.9,251
2,255,99.99,251
2,255,99.999,251
2,255,100.0,251
3,0,0.0,23
3,1,50.0,550
3,255,90.0,150
3,255,99.0,150
3,255,99.9,150
3,255,99.99,150
3,255,99.999,150
3,255,100.0,150
4,0,0.0,506
4,0,50.0,506
4,127,90.0,275
4,255,99.0,50
4,255,99.9,50
4,255,99.99,50
4,255,99.999,50
4,255,100.0,50
5,0,0.0,330
5,1,50.0,171
5,255,90.0,224
5,255,99.0,224
5,255,99.9,224
5,255,99.99,224
5,255,99.999,224
5,255,100.0,224
6,0,0.0,178
6,1,50.0,424
6,255,90.0,124
6,255,99.0,124
6,255,99.9,124
6,255,99.99,124
6,255,99.999,124
6,255,100.0,124
7,0,0.0,371
7,1,50.0,330
7,127,90.0,299
7,127,99.0,299
7,127,99.9,299
7,127,99.99,299
7,127,99.999,299
7,127,100.0,299
8,1,0.0,528
8,1,50.0,528
8,127,90.0,472
8,127,99.0,472
8,127,99.9,472
8,127,99.99,472
8,127,99.999,472
8,127,100.0,472
9,0,0.0,153
9,1,50.0,361
9,127,90.0,372
9,127,99.0,372
9,127,99.9,372
9,127,99.99,372
9,127,99.999,372
9,127,100.0,372
10,0,0.0,83
10,127,50.0,275
10,255,90.0,271
10,255,99.0,271
10,255,99.9,271
10,255,99.99,271
10,255,99.999,271
10,255,100.0,271
11,1,0.0,291
11,3,50.0,264
11,255,90.0,171
11,255,99.0,171
11,255,99.9,171
11,255,99.99,171
11,255,99.999,171
11,255,100.0,171
12,0,0.0,29
12,1,50.0,625
12,127,90.0,274
12,255,99.0,72
12,255,99.9,72
12,255,99.99,72
12,255,99.999,72
12,255,100.0,72
13,1,0.0,478
13,127,50.0,275
13,255,90.0,247
13,255,99.0,247
13,255,99.9,247
13,255,99.99,247
13,255,99.999,247
13,255,100.0,247
14,0,0.0,166
14,1,50.0,411
14,127,90.0,423
14,127,99.0,423
14,127,99.9,423
14,127,99.99,423
14,127,99.999,423
14,127,100.0,423
15,0,0.0,77
15,1,50.0,599
15,127,90.0,324
15,127,99.0,324
15,127,99.9,324
15,127,99.99,324
15,127,99.999,324
15,127,100.0,324
16,0,0.0,26
16,1,50.0,475
16,127,90.0,499
16,127,99.0,499
16,127,99.9,499
16,127,99.99,499
16,127,99.999,499
16,127,100.0,499
17,0,0.0,76
17,3,50.0,117
17,127,90.0,399
17,127,99.0,399
17,127,99.9,399
17,127,99.99,399
17,127,99.999,399
17,127,100.0,399
18,0,0.0,555
18,0,50.0,555
18,127,90.0,299
18,127,99.0,299
18,127,99.9,299
18,127,99.99,299
18,127,99.999,299
18,127,100.0,299
19,0,0.0,385
19,1,50.0,140
19,255,90.0,199
19,255,99.0,199
19,255,99.9,199
19,255,99.99,199
19,255,99.999,199
19,255,100.0,199
20,0,0.0,324
20,1,50.0,303
20,127,90.0,275
20,255,99.0,98
20,255,99.9,98
20,255,99.99,98
20,255,99.999,98
20,255,100.0,98
21,0,0.0,175
21,127,50.0,274
21,255,90.0,273
21,255,99.0,273
21,255,99.9,273
21,255,99.99,273
21,255,99.999,273
21,255,100.0,273
22,0,0.0,337
22,1,50.0,214
22,255,90.0,175
22,255,99.0,175
22,255,99.9,175
22,255,99.99,175
22,255,99.999,175
22,255,100.0,175
23,0,0.0,573
23,0,50.0,573
23,127,90.0,350
23,127,99.0,350
23,127,99.9,350
23,127,99.99,350
23,127,99.999,350
23,127,100.0,350
24,0,0.0,484
24,1,50.0,266
24,127,90.0,250
24,127,99.0,250
24,127,99.9,250
24,127,99.99,250
24,127,99.999,250
24,127,100.0,250
25,0,0.0,490
25,1,50.0,360
25,127,90.0,150
25,127,99.0,150
25,127,99.9,150
25,127,99.99,150
25,127,99.999,150
25,127,100.0,150
26,1,0.0,555
26,1,50.0,555
26,127,90.0,275
26,255,99.0,49
26,255,99.9,49
26,255,99.99,49
26,255,99.999,49
26,255,100.0,49
27,0,0.0,134
27,1,50.0,367
27,3,90.0,499
27,3,99.0,499
27,3,99.9,499
27,3,99.99,499
27,3,99.999,499
27,3,100.0,499
28,0,0.0,140
28,1,50.0,462
28,127,90.0,124
28,127,99.0,124
28,127,99.9,124
28,127,99.99,124
28,127,99.999,124
28,127,100.0,124
29,0,0.0,593
29,0,50.0,593
29,7,90.0,241
29,127,99.0,24
29,127,99.9,24
29,127,99.99,24
