window,workload
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,809
31,1000
32,993
33,995
34,996
35,996
36,991
37,986
38,986
39,1002
40,986
41,999
42,997
43,980
44,999
45,991
46,994
47,997
48,1001
49,997
50,990
51,995
52,996
53,986
54,997
55,998
56,1001
57,1002
58,980
59,991
60,991
61,993
62,997
63,985
64,987
65,1000
66,989
67,989
68,994
69,987
70,990
71,992
72,994
73,990
74,992
75,997
76,991
77,997
78,990
79,1000
80,980
81,996
82,999
83,988
84,992
85,977
86,1000
87,984
88,1001
89,985
90,1
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1

