window,value,percentile,total_count

0,0,0.0,0
0,0,50.0,0
0,0,90.0,0
0,0,99.0,0
0,0,99.9,0
0,0,99.99,0
0,0,99.999,0
0,0,100.0,0
1,0,0.0,0
1,0,50.0,0
1,0,90.0,0
1,0,99.0,0
1,0,99.9,0
1,0,99.99,0
1,0,99.999,0
1,0,100.0,0
2,0,0.0,0
2,0,50.0,0
2,0,90.0,0
2,0,99.0,0
2,0,99.9,0
2,0,99.99,0
2,0,99.999,0
2,0,100.0,0
3,0,0.0,0
3,0,50.0,0
3,0,90.0,0
3,0,99.0,0
3,0,99.9,0
3,0,99.99,0
3,0,99.999,0
3,0,100.0,0
4,0,0.0,0
4,0,50.0,0
4,0,90.0,0
4,0,99.0,0
4,0,99.9,0
4,0,99.99,0
4,0,99.999,0
4,0,100.0,0
5,0,0.0,0
5,0,50.0,0
5,0,90.0,0
5,0,99.0,0
5,0,99.9,0
5,0,99.99,0
5,0,99.999,0
5,0,100.0,0
6,0,0.0,0
6,0,50.0,0
6,0,90.0,0
6,0,99.0,0
6,0,99.9,0
6,0,99.99,0
6,0,99.999,0
6,0,100.0,0
7,0,0.0,0
7,0,50.0,0
7,0,90.0,0
7,0,99.0,0
7,0,99.9,0
7,0,99.99,0
7,0,99.999,0
7,0,100.0,0
8,0,0.0,0
8,0,50.0,0
8,0,90.0,0
8,0,99.0,0
8,0,99.9,0
8,0,99.99,0
8,0,99.999,0
8,0,100.0,0
9,0,0.0,0
9,0,50.0,0
9,0,90.0,0
9,0,99.0,0
9,0,99.9,0
9,0,99.99,0
9,0,99.999,0
9,0,100.0,0
10,0,0.0,0
10,0,50.0,0
10,0,90.0,0
10,0,99.0,0
10,0,99.9,0
10,0,99.99,0
10,0,99.999,0
10,0,100.0,0
11,0,0.0,0
11,0,50.0,0
11,0,90.0,0
11,0,99.0,0
11,0,99.9,0
11,0,99.99,0
11,0,99.999,0
11,0,100.0,0
12,0,0.0,0
12,0,50.0,0
12,0,90.0,0
12,0,99.0,0
12,0,99.9,0
12,0,99.99,0
12,0,99.999,0
12,0,100.0,0
13,0,0.0,0
13,0,50.0,0
13,0,90.0,0
13,0,99.0,0
13,0,99.9,0
13,0,99.99,0
13,0,99.999,0
13,0,100.0,0
14,0,0.0,0
14,0,50.0,0
14,0,90.0,0
14,0,99.0,0
14,0,99.9,0
14,0,99.99,0
14,0,99.999,0
14,0,100.0,0
15,0,0.0,0
15,0,50.0,0
15,0,90.0,0
15,0,99.0,0
15,0,99.9,0
15,0,99.99,0
15,0,99.999,0
15,0,100.0,0
16,0,0.0,0
16,0,50.0,0
16,0,90.0,0
16,0,99.0,0
16,0,99.9,0
16,0,99.99,0
16,0,99.999,0
16,0,100.0,0
17,0,0.0,0
17,0,50.0,0
17,0,90.0,0
17,0,99.0,0
17,0,99.9,0
17,0,99.99,0
17,0,99.999,0
17,0,100.0,0
18,0,0.0,0
18,0,50.0,0
18,0,90.0,0
18,0,99.0,0
18,0,99.9,0
18,0,99.99,0
18,0,99.999,0
18,0,100.0,0
19,0,0.0,0
19,0,50.0,0
19,0,90.0,0
19,0,99.0,0
19,0,99.9,0
19,0,99.99,0
19,0,99.999,0
19,0,100.0,0
20,0,0.0,0
20,0,50.0,0
20,0,90.0,0
20,0,99.0,0
20,0,99.9,0
20,0,99.99,0
20,0,99.999,0
20,0,100.0,0
21,0,0.0,0
21,0,50.0,0
21,0,90.0,0
21,0,99.0,0
21,0,99.9,0
21,0,99.99,0
21,0,99.999,0
21,0,100.0,0
22,0,0.0,0
22,0,50.0,0
22,0,90.0,0
22,0,99.0,0
22,0,99.9,0
22,0,99.99,0
22,0,99.999,0
22,0,100.0,0
23,0,0.0,0
23,0,50.0,0
23,0,90.0,0
23,0,99.0,0
23,0,99.9,0
23,0,99.99,0
23,0,99.999,0
23,0,100.0,0
24,0,0.0,0
24,0,50.0,0
24,0,90.0,0
24,0,99.0,0
24,0,99.9,0
24,0,99.99,0
24,0,99.999,0
24,0,100.0,0
25,0,0.0,0
25,0,50.0,0
25,0,90.0,0
25,0,99.0,0
25,0,99.9,0
25,0,99.99,0
25,0,99.999,0
25,0,100.0,0
26,0,0.0,0
26,0,50.0,0
26,0,90.0,0
26,0,99.0,0
26,0,99.9,0
