window,value,percentile,total_count
0,8,0.0,550
0,15,50.0,550
0,255,90.0,175
0,255,99.0,175
0,255,99.9,175
0,255,99.99,175
0,255,99.999,175
0,255,100.0,175
1,1,0.0,2
1,127,50.0,430
1,255,90.0,203
1,255,99.0,203
1,255,99.9,203
1,255,99.99,203
1,255,99.999,203
1,255,100.0,203
2,2,0.0,2
2,127,50.0,417
2,255,90.0,446
2,255,99.0,446
2,255,99.9,446
2,255,99.99,446
2,255,99.999,446
2,255,100.0,446
3,1,0.0,10
3,63,50.0,332
3,127,90.0,362
3,127,99.0,362
3,127,99.9,362
3,127,99.99,362
3,127,99.999,362
3,127,100.0,362
4,1,0.0,8
4,63,50.0,278
4,255,90.0,124
4,255,99.0,124
4,255,99.9,124
4,255,99.99,124
4,255,99.999,124
4,255,100.0,124
5,32,0.0,54
5,127,50.0,449
5,255,90.0,497
5,255,99.0,497
5,255,99.9,497
5,255,99.99,497
5,255,99.999,497
5,255,100.0,497
6,32,0.0,20
6,255,50.0,612
6,255,90.0,612
6,255,99.0,612
6,255,99.9,612
6,255,99.99,612
6,255,99.999,612
6,255,100.0,612
7,1,0.0,4
7,127,50.0,441
7,255,90.0,220
7,255,99.0,220
7,255,99.9,220
7,255,99.99,220
7,255,99.999,220
7,255,100.0,220
8,1,0.0,2
8,127,50.0,396
8,255,90.0,468
8,255,99.0,468
8,255,99.9,468
8,255,99.99,468
8,255,99.999,468
8,255,100.0,468
9,16,0.0,4
9,127,50.0,468
9,255,90.0,468
9,255,99.0,468
9,255,99.9,468
9,255,99.99,468
9,255,99.999,468
9,255,100.0,468
10,0,0.0,1
10,127,50.0,335
10,255,90.0,404
10,255,99.0,404
10,255,99.9,404
10,255,99.99,404
10,255,99.999,404
10,255,100.0,404
11,1,0.0,2
11,127,50.0,436
11,255,90.0,213
11,255,99.0,213
11,255,99.9,213
11,255,99.99,213
11,255,99.999,213
11,255,100.0,213
12,2,0.0,6
12,127,50.0,418
12,255,90.0,211
12,255,99.0,211
12,255,99.9,211
12,255,99.99,211
12,255,99.999,211
12,255,100.0,211
13,32,0.0,11
13,255,50.0,560
13,255,90.0,560
13,255,99.0,560
13,255,99.9,560
13,255,99.99,560
13,255,99.999,560
13,255,100.0,560
14,0,0.0,2
14,127,50.0,297
14,255,90.0,432
14,255,99.0,432
14,255,99.9,432
14,255,99.99,432
14,255,99.999,432
14,255,100.0,432
15,1,0.0,2
15,127,50.0,409
15,255,90.0,349
15,255,99.0,349
15,255,99.9,349
15,255,99.99,349
15,255,99.999,349
15,255,100.0,349
16,0,0.0,4
16,63,50.0,284
16,255,90.0,117
16,255,99.0,117
16,255,99.9,117
16,255,99.99,117
16,255,99.999,117
16,255,100.0,117
17,2,0.0,2
17,127,50.0,355
17,255,90.0,314
17,255,99.0,314
17,255,99.9,314
17,255,99.99,314
17,255,99.999,314
17,255,100.0,314
18,32,0.0,17
18,255,50.0,652
18,255,90.0,652
18,255,99.0,652
18,255,99.9,652
18,255,99.99,652
18,255,99.999,652
18,255,100.0,652
19,4,0.0,4
19,127,50.0,358
19,255,90.0,438
19,255,99.0,438
19,255,99.9,438
19,255,99.99,438
19,255,99.999,438
19,255,100.0,438
20,2,0.0,8
20,127,50.0,502
20,255,90.0,171
20,255,99.0,171
20,255,99.9,171
20,255,99.99,171
20,255,99.999,171
20,255,100.0,171
21,16,0.0,18
21,255,50.0,527
21,255,90.0,527
21,255,99.0,527
21,255,99.9,527
21,255,99.99,527
21,255,99.999,527
21,255,100.0,527
22,2,0.0,2
22,127,50.0,447
22,255,90.0,278
22,255,99.0,278
22,255,99.9,278
22,255,99.99,278
22,255,99.999,278
22,255,100.0,278
23,4,0.0,8
23,63,50.0,331
23,127,90.0,374
23,127,99.0,374
23,127,99.9,374
23,127,99.99,374
23,127,99.999,374
23,127,100.0,374
24,1,0.0,4
24,127,50.0,396
24,255,90.0,228
24,255,99.0,228
24,255,99.9,228
24,255,99.99,228
24,255,99.999,228
24,255,100.0,228
25,2,0.0,2
25,127,50.0,421
25,255,90.0,387
25,255,99.0,387
25,255,99.9,387
25,255,99.99,387
25,255,99.999,387
25,255,100.0,387
26,1,0.0,2
26,127,50.0,447
26,255,90.0,529
26,255,99.0,529
26,255,99.9,529
26,255,99.99,529
26,255,99.999,529
26,255,100.0,529
27,16,0.0,2
27,127,50.0,368
27,255,90.0,383
27,255,99.0,383
27,255,99.9,383
27,255,99.99,383
27,255,99.999,383
27,255,100.0,383
28,8,0.0,8
28,255,50.0,576
28,255,90.0,576
28,255,99.0,576
28,255,99.9,576
28,255,99.99,576
28,255,99.999,576
28,255,100.0,576
29,16,0.0,30
29,127,50.0,466
29,255,90.0,469
29,255,99.0,469
29,255,99.9,469
29,255,99.99,469
