window,throughput
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,1000
12,952
13,984
14,998
15,1011
16,1043
17,882
18,1098
19,886
20,1146
21,992
22,1008
23,956
24,930
25,980
26,1134
27,822
28,1050
29,1100
30,350
31,474
32,466
33,460
34,449
35,421
36,450
37,460
38,470
39,470
40,430
41,460
42,450
43,440
44,470
45,430
46,440
47,450
48,440
49,450
50,460
51,460
52,400
53,480
54,460
55,440
56,490
57,410
58,480
59,467
60,413
61,460
62,470
63,450
64,420
65,460
66,450
67,460
68,470
69,440
70,470
71,420
72,440
73,450
74,450
75,460
76,410
77,470
78,470
79,460
80,420
81,450
82,480
83,450
84,450
85,420
86,450
87,461
88,469
89,460
90,4048
91,1000
92,1000
93,988
94,1012
95,1000
96,1000
97,1000
98,1000
99,1000
100,1000
101,1000
102,1000
103,1000
104,1000
105,986
106,1014
107,1000
108,938
109,1008
110,1054
111,986
112,1014
113,938
114,1033
115,965
116,1040
117,1024
118,1000
119,1000
120,896
121,1048
122,1044
123,1012
124,1000
125,973
126,989
127,998
128,1040
129,1000
130,1000
131,930
132,1038
133,1016
134,992
135,1024
136,1000
137,910
138,1026
139,1060
140,954
141,1014
142,1024
143,868
144,1089
145,985
146,1012
147,1030
148,1026
149,1002
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0

