average_rate,sentence_length,window_size,undershoot_window_size,window_limit,spacing_name,cutoff_type,current_rate,sentences_processed,end_time,emit_duration,work_duration,sleep_duration,padding_duration,transmission_diff,number_of_sleeps,remaining_time,between_loop_duration,number_of_transmitted_windows,spike
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535482556,14,14,0,986,986,0,986,0,0,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535483556,573,73,500,427,427,500,927,1000,1,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535484556,583,83,500,417,417,500,917,1000,2,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535485558,577,77,500,423,423,500,923,1000,3,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535486558,580,80,500,420,420,500,920,1002,4,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535487558,584,84,500,416,416,500,916,1000,5,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535488559,582,82,500,418,418,500,918,1000,6,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535489559,577,77,500,423,423,500,923,1001,7,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535490559,583,83,500,417,417,500,917,1000,8,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535491559,570,70,500,430,430,500,930,1000,9,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535492559,567,67,500,433,433,500,933,1000,10,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535493559,581,81,500,419,419,500,919,1000,11,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535494559,594,94,500,406,406,500,906,1000,12,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535495559,576,76,500,424,424,500,924,1000,13,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535496559,576,76,500,424,424,500,924,1000,14,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535497559,576,76,500,424,424,500,924,1000,15,0
1000,100,1000,1000.0,60,SPACED,NO_CUTOFF,1000,1000,1772535498559,569,69,500,431,431,500,931,1000,16,0
